date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:42	729232/729232	---M-Z	200	added ('OK')	text/html	etag:%228cf3ba1cacf09e1de494fe1461cf62f3%22	https://charlesdesign.framer.website/	C:/My%20Web%20Sites/Portfolio/charlesdesign.framer.website/index.html	(from )
19:58:42	101/101	---M-Z	200	added ('OK')	text/plain	etag:%2282ff9b07fbb6e54604bb1ee84b59a4eb%22	https://charlesdesign.framer.website/robots.txt		(from )
19:58:42	907/907	---MC-	200	added ('OK')	image/png	etag:%22270aa7b6e5dbb3c25b788c73882b55e6%22	https://framerusercontent.com/images/YDPM8RIj9noi5h2fTz2KUz7t8.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/YDPM8RIj9noi5h2fTz2KUz7t8.png	(from https://charlesdesign.framer.website/)
19:58:43	887/887	---MC-	200	added ('OK')	image/png	etag:%22a594e82bb425d09cfd5f4c1ab18b74d1%22	https://framerusercontent.com/images/bnPiZ03S5cVeNfXH8ngOALa6Lw.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/bnPiZ03S5cVeNfXH8ngOALa6Lw.png	(from https://charlesdesign.framer.website/)
19:58:43	5656/5656	---MC-	200	added ('OK')	image/png	etag:%2281c05018618997e71d39732635de0054%22	https://framerusercontent.com/images/KYi4pyGL9jMKbPIw0V5fLcvP4Ok.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/KYi4pyGL9jMKbPIw0V5fLcvP4Ok.png	(from https://charlesdesign.framer.website/)
19:58:43	655897/655897	---M--	200	added ('OK')	image/png	etag:%22b1f5680dc0cdded904a0d907ab73c9cd%22	https://framerusercontent.com/assets/3ZDgwqMqofBGbKcFhHyjb2WIIyM.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/assets/3ZDgwqMqofBGbKcFhHyjb2WIIyM.png	(from https://charlesdesign.framer.website/)
19:58:43	231295/231295	---MC-	200	added ('OK')	image/png	etag:%224136ae8b5bb2d25848cba5845ec662d5%22	https://framerusercontent.com/images/sTyfJNyKxric7OApGw1AYP581uY.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/sTyfJNyKxric7OApGw1AYP581uY.png	(from https://charlesdesign.framer.website/)
19:58:44	195733/195733	---M-Z	200	added ('OK')	text/html	etag:%2227c813580def68d0bc91c29e0a647d8d%22	https://charlesdesign.framer.website/contact	C:/My%20Web%20Sites/Portfolio/charlesdesign.framer.website/contact.html	(from https://charlesdesign.framer.website/)
19:58:44	353246/353246	---M-Z	200	added ('OK')	text/html	etag:%22ea06a2c06bd2dff69b1e0d73c8088d6c%22	https://charlesdesign.framer.website/portfolio-dark-work-single/logo-design-for-brands	C:/My%20Web%20Sites/Portfolio/charlesdesign.framer.website/portfolio-dark-work-single/logo-design-for-brands.html	(from https://charlesdesign.framer.website/)
19:58:44	70883/70883	---MC-	200	added ('OK')	image/png	etag:%2222fe65c750666efb5393d0ba0d96b330%22	https://framerusercontent.com/images/GtiFhIcUC11ozvNmHdMDSvLFFc.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/GtiFhIcUC11ozvNmHdMDSvLFFc.png	(from https://charlesdesign.framer.website/)
19:58:44	296075/296075	---M-Z	200	added ('OK')	text/html	etag:%22a52536317c98db6f2423770e1a7c9baf%22	https://charlesdesign.framer.website/portfolio-dark-work-single/big-b-nft-collection	C:/My%20Web%20Sites/Portfolio/charlesdesign.framer.website/portfolio-dark-work-single/big-b-nft-collection.html	(from https://charlesdesign.framer.website/)
19:58:45	476858/476858	---MC-	200	added ('OK')	image/png	etag:%229c14476733eae6a2f08c10e5523cbba8%22	https://framerusercontent.com/images/SeZZFK6haqE4fqcz6UmALPI1hyQ.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/SeZZFK6haqE4fqcz6UmALPI1hyQ.png	(from https://charlesdesign.framer.website/)
19:58:45	273572/273572	---M-Z	200	added ('OK')	text/html	etag:%22ebb6d07173e2cf5ca86590cbe234c251%22	https://charlesdesign.framer.website/portfolio-dark-work-single/wikiprospects-coporate-videos	C:/My%20Web%20Sites/Portfolio/charlesdesign.framer.website/portfolio-dark-work-single/wikiprospects-coporate-videos.html	(from https://charlesdesign.framer.website/)
19:58:45	368763/368763	---MC-	200	added ('OK')	image/png	etag:%223bc1c3d3751685fe759cad5d77470d1f%22	https://framerusercontent.com/images/rSUHQH8U5qPuv4kAKx7wfqXe1N8.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/rSUHQH8U5qPuv4kAKx7wfqXe1N8.png	(from https://charlesdesign.framer.website/)
19:58:46	271456/271456	---M-Z	200	added ('OK')	text/html	etag:%2274d1a314c95d585d190658702c0420b9%22	https://charlesdesign.framer.website/portfolio-dark-work-single/digiwebs-website	C:/My%20Web%20Sites/Portfolio/charlesdesign.framer.website/portfolio-dark-work-single/digiwebs-website.html	(from https://charlesdesign.framer.website/)
19:58:46	361945/361945	---MC-	200	added ('OK')	image/png	etag:%225c4aa90e57b9422435000165f6d24a53%22	https://framerusercontent.com/images/VPWeyMhMBgAq0H9KdYYLPmBn0E.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/VPWeyMhMBgAq0H9KdYYLPmBn0E.png	(from https://charlesdesign.framer.website/)
19:58:46	406280/406280	---M-Z	200	added ('OK')	text/html	etag:%22275c90e6b2215ee002c171ed924844a7%22	https://charlesdesign.framer.website/portfolio-dark-work-single/ramraj-cotton	C:/My%20Web%20Sites/Portfolio/charlesdesign.framer.website/portfolio-dark-work-single/ramraj-cotton.html	(from https://charlesdesign.framer.website/)
19:58:46	739745/739745	---MC-	200	added ('OK')	image/png	etag:%223612baba722dfe9d2c8d38d62b43b63d%22	https://framerusercontent.com/images/GuDHDPUA2UYDmEVasvQLJMAS8.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/GuDHDPUA2UYDmEVasvQLJMAS8.png	(from https://charlesdesign.framer.website/)
19:58:47	286287/286287	---M-Z	200	added ('OK')	text/html	etag:%22c2059a5779677280743b0ce976119a19%22	https://charlesdesign.framer.website/portfolio-dark-work-single/bopoverse-nft	C:/My%20Web%20Sites/Portfolio/charlesdesign.framer.website/portfolio-dark-work-single/bopoverse-nft.html	(from https://charlesdesign.framer.website/)
19:58:47	228931/228931	---MC-	200	added ('OK')	image/png	etag:%22de7db9f56dffdd7173b67d1b49d9d368%22	https://framerusercontent.com/images/zXzKpJlCVPw4nZYtfG5UABVXFc.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/zXzKpJlCVPw4nZYtfG5UABVXFc.png	(from https://charlesdesign.framer.website/)
19:58:47	575238/575238	---MC-	200	added ('OK')	image/png	etag:%22b87e7bf8a470398e4ef4331d7f44e2f7%22	https://framerusercontent.com/images/Wvv6P4A9shDe05RBuhfHiMXwNQA.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/Wvv6P4A9shDe05RBuhfHiMXwNQA.png	(from https://charlesdesign.framer.website/)
19:58:47	3426/3426	---MC-	200	added ('OK')	image/png	etag:%22f7f43676cdf5384ab7e80c0f108c224d%22	https://framerusercontent.com/images/U94s74OxqaqOSA92EVADBezFlFM.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/U94s74OxqaqOSA92EVADBezFlFM.png	(from https://charlesdesign.framer.website/)
19:58:47	4721/4721	---MC-	200	added ('OK')	image/png	etag:%2257f2be4feed5db7a725166e0f5d2ec6e%22	https://framerusercontent.com/images/IHSQyEsppK2y9lFZdvZH8VFkV3w.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/IHSQyEsppK2y9lFZdvZH8VFkV3w.png	(from https://charlesdesign.framer.website/)
19:58:48	12645/12645	---MC-	200	added ('OK')	image/png	etag:%227ea5caacc7e1936fde0ef1d34772c615%22	https://framerusercontent.com/images/CQXq3JAV8VIMzXMd4cl7qpTxpM.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/CQXq3JAV8VIMzXMd4cl7qpTxpM.png	(from https://charlesdesign.framer.website/)
19:58:48	2770/2770	---MC-	200	added ('OK')	image/png	etag:%22293cc7f95d627ce1068f3bd5b4e1fe4d%22	https://framerusercontent.com/images/J9kAQQUUD5HAZ6tLunwdb1Pjh8.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/J9kAQQUUD5HAZ6tLunwdb1Pjh8.png	(from https://charlesdesign.framer.website/)
19:58:48	9373/9373	---MC-	200	added ('OK')	image/png	etag:%22fefb0592ba27b744c91b8c9dc368ead2%22	https://framerusercontent.com/images/9HCp4Uix4hlOmJq57YPDgQ8p3PQ.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/9HCp4Uix4hlOmJq57YPDgQ8p3PQ.png	(from https://charlesdesign.framer.website/)
19:58:48	11992/11992	---MC-	200	added ('OK')	image/png	etag:%22ad5f7cf9aaaac23e3b88403a6dd3c619%22	https://framerusercontent.com/images/hrw9bpVQjmRF0JNgFxEMCBxPEIE.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/hrw9bpVQjmRF0JNgFxEMCBxPEIE.png	(from https://charlesdesign.framer.website/)
19:58:49	2789/2789	---MC-	200	added ('OK')	image/png	etag:%224fb87ffe3fedb7fa440563f2d2f5ac21%22	https://framerusercontent.com/images/VrMS00KuLhLd8LMZj6VdXxwfIVY.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/VrMS00KuLhLd8LMZj6VdXxwfIVY.png	(from https://charlesdesign.framer.website/)
19:58:49	345051/345051	---MC-	200	added ('OK')	image/png	etag:%229f4741464165a38ac27e14d3ad19caf1%22	https://framerusercontent.com/images/qKu4SHCe8dmMepzPI3pIzx0E0.png?scale-down-to=2048	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/qKu4SHCe8dmMepzPI3pIzx0E09ae5.png	(from https://charlesdesign.framer.website/)
19:58:49	2674/2674	---MC-	200	added ('OK')	image/png	etag:%22b5ad8d2cfc7629fa460b84a8b1441970%22	https://framerusercontent.com/images/qC8INbFhBs0XkvKfm9mQND3hEgI.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/qC8INbFhBs0XkvKfm9mQND3hEgI.png	(from https://charlesdesign.framer.website/)
19:58:49	2753/2753	---MC-	200	added ('OK')	image/png	etag:%22a434a76a4666452fc575a3e1f9b4e500%22	https://framerusercontent.com/images/d8FryCKsgEnMonIXxAvX1mAk9k.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/d8FryCKsgEnMonIXxAvX1mAk9k.png	(from https://charlesdesign.framer.website/)
19:58:49	3250/3250	---MC-	200	added ('OK')	image/png	etag:%227cafaac5935178a7d21a9891f46305d2%22	https://framerusercontent.com/images/TsnimJ8zlJsw3PDtMmzHkrIH0.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/TsnimJ8zlJsw3PDtMmzHkrIH0.png	(from https://charlesdesign.framer.website/)
19:58:50	3542/3542	---MC-	200	added ('OK')	image/png	etag:%22c1b6957169bf860b7601e158771f9294%22	https://framerusercontent.com/images/xdixoErXJzKXRrWgpONPj0rNE.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/xdixoErXJzKXRrWgpONPj0rNE.png	(from https://charlesdesign.framer.website/)
19:58:50	3163/3163	---MC-	200	added ('OK')	image/png	etag:%22d7a5091b6510cb17e1ceb07ac8d0d2d3%22	https://framerusercontent.com/images/zCjWRCwBK4F01Lmca1AdyAuSw.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/zCjWRCwBK4F01Lmca1AdyAuSw.png	(from https://charlesdesign.framer.website/)
19:58:50	525888/525888	---MC-	200	added ('OK')	image/jpeg	etag:%2210a59a1f00473eca6164bc6a42edd2de%22	https://framerusercontent.com/images/rlWyr3ScOwNr6x1h7iol2ogNy4o.jpg?scale-down-to=2048	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/rlWyr3ScOwNr6x1h7iol2ogNy4o9ae5.jpg	(from https://charlesdesign.framer.website/)
19:58:50	1314672/1314672	---MC-	200	added ('OK')	image/jpeg	etag:%22017757061a76ff4ffebd8bd21098b2c3%22	https://framerusercontent.com/images/sm4qI5WaGyaIFsFACGakZjHHwQY.jpg?scale-down-to=4096	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/sm4qI5WaGyaIFsFACGakZjHHwQYa3fc.jpg	(from https://charlesdesign.framer.website/)
